,stock_id,start_date,end_date
280,002345,2012-05-10,2013-01-31
281,002349,2013-04-22,2014-08-26
282,002353,2013-07-19,2013-12-20
283,002358,2012-05-07,2013-06-27
284,002359,2012-02-13,2012-12-13
285,002361,2014-02-28,2014-09-29
286,002373,2014-12-17,2015-10-19
287,002374,2012-03-01,2012-09-04
288,002374,2015-03-30,2015-11-16
289,002375,2012-07-11,2013-09-26
290,002376,2015-05-08,2015-12-10
291,002378,2013-12-03,2014-07-10
292,002381,2014-07-04,2015-11-05
293,002384,2012-04-20,2015-01-08
294,002385,2015-03-06,2015-08-26
295,002387,2014-09-19,2015-06-08
296,002389,2015-01-22,2015-08-10
297,002402,2013-12-13,2014-08-28
298,002403,2015-03-06,2015-10-29
299,002407,2015-01-27,2015-07-02
300,002418,2014-07-03,2014-12-22
301,002421,2014-03-13,2014-08-04
302,002423,2014-03-28,2014-09-29
303,002425,2012-07-31,2013-04-11
304,002426,2013-09-06,2014-01-14
305,002427,2014-11-19,2015-05-14
306,002430,2013-03-22,2013-09-05
307,002431,2014-05-26,2014-12-15
308,002433,2012-01-20,2012-10-11
309,002433,2013-12-10,2014-06-26
310,002433,2015-01-20,2015-08-20
311,002436,2014-02-20,2014-12-25
312,002443,2012-08-31,2013-02-26
313,002447,2012-06-13,2013-12-12
314,002449,2014-09-30,2015-05-07
315,002450,2014-11-07,2015-09-28
316,002453,2012-05-11,2013-03-28
317,002456,2012-02-16,2012-12-06
318,002458,2015-04-22,2015-11-02
319,002459,2014-02-25,2014-08-26
320,002460,2013-01-04,2013-10-21
321,002462,2015-02-13,2015-09-17
322,002465,2014-11-12,2015-06-15
323,002466,2012-12-25,2014-01-13
324,002467,2015-03-16,2015-10-30
325,002470,2014-05-14,2014-09-18
326,002475,2014-03-05,2014-07-21
327,002477,2013-06-27,2015-03-03
328,002479,2014-09-30,2015-06-04
329,002480,2013-05-13,2013-12-26
330,002481,2014-04-08,2014-11-18
331,002482,2015-01-06,2015-08-10
332,002483,2014-11-04,2015-06-04
333,002488,2014-04-21,2014-11-03
334,002492,2014-06-05,2015-02-09
335,002493,2015-04-13,2015-10-19
336,002494,2012-10-30,2013-12-26
337,002500,2015-03-10,2015-11-05
338,002501,2012-01-10,2012-12-06
339,002501,2014-12-25,2015-10-19
340,002505,2013-07-04,2014-01-07
341,002509,2013-10-22,2014-03-17
342,002515,2014-04-18,2014-12-29
343,002520,2014-05-12,2015-10-19
344,002524,2012-02-29,2012-12-17
345,002529,2015-04-23,2015-11-16
346,002535,2014-08-01,2015-04-30
347,002536,2014-09-03,2015-03-30
348,002538,2015-01-22,2015-07-06
349,002539,2014-12-15,2015-06-25
350,002542,2015-03-03,2015-09-24
351,002546,2015-07-16,2015-12-31
352,002547,2014-04-01,2014-09-30
353,002551,2014-08-12,2015-11-27
354,002554,2014-07-01,2015-01-19
355,002555,2015-05-05,2015-11-19
356,002560,2013-01-16,2013-12-10
357,002562,2012-03-21,2015-09-14
358,002564,2012-09-04,2013-02-04
359,002571,2012-11-21,2013-06-24
360,002580,2014-06-13,2014-11-18
361,002584,2014-10-28,2015-05-11
362,002585,2013-09-12,2014-06-03
363,002586,2013-07-29,2013-12-10
364,002589,2012-07-23,2013-05-17
365,002589,2014-07-03,2014-12-25
366,002590,2013-12-03,2015-12-10
367,002592,2013-10-22,2014-05-13
368,002592,2015-02-02,2015-11-02
369,002593,2014-10-15,2015-03-30
370,002594,2015-06-04,2015-12-24
371,002610,2014-12-01,2015-12-10
372,002611,2014-12-15,2015-09-10
373,002616,2014-04-21,2014-11-18
374,002618,2013-01-21,2013-08-13
375,002630,2013-05-23,2013-12-24
376,002632,2014-11-05,2015-04-13
377,002635,2014-08-05,2015-02-16
378,002639,2014-06-10,2015-04-30
379,002642,2015-02-17,2015-09-28
380,002643,2014-06-03,2014-12-18
381,002644,2013-08-09,2014-12-29
382,002649,2013-04-19,2013-11-12
383,002654,2014-08-15,2015-03-16
384,002657,2015-03-23,2015-11-27
385,002661,2015-06-03,2015-11-19
386,002663,2014-03-28,2014-10-13
387,002665,2014-09-02,2015-03-23
388,002666,2014-04-25,2014-12-15
389,002671,2013-03-29,2013-11-14
390,002673,2014-06-27,2015-01-19
391,002683,2013-11-05,2014-07-24
392,002684,2014-04-18,2015-01-07
393,002685,2014-11-25,2015-12-04
394,002688,2014-11-03,2015-11-27
395,002696,2015-05-28,2015-11-27
396,002699,2014-10-15,2015-05-14
397,002703,2014-01-28,2014-09-29
398,002706,2015-07-07,2015-12-31
399,002709,2014-09-30,2015-08-20
400,002714,2015-04-28,2015-11-06
401,002717,2015-06-08,2015-12-10
402,300001,2014-07-23,2015-08-07
403,300006,2014-09-03,2015-07-02
404,300014,2014-06-23,2015-06-25
405,300016,2014-09-25,2015-07-02
406,300020,2014-08-18,2015-04-20
407,300021,2015-02-10,2015-11-19
408,300024,2014-08-21,2015-05-20
409,300025,2012-10-30,2013-03-27
410,300026,2012-02-29,2012-07-25
411,300026,2014-08-19,2015-01-08
412,300027,2014-06-25,2015-07-01
413,300032,2015-06-01,2015-12-30
414,300041,2014-08-06,2015-06-17
415,300049,2014-09-05,2015-04-01
416,300055,2015-05-26,2015-10-30
417,300057,2014-06-24,2015-04-02
418,300064,2014-07-15,2015-03-25
419,300066,2014-10-14,2015-06-24
420,300068,2015-06-03,2015-12-07
421,300070,2014-12-02,2015-06-25
422,300072,2014-06-23,2014-08-04
423,300072,2014-12-02,2015-06-24
424,300083,2014-07-16,2015-01-07
425,300088,2014-07-22,2015-01-19
426,300090,2015-04-10,2015-11-04
427,300102,2014-09-04,2015-07-02
428,300133,2014-10-09,2015-08-26
429,300138,2014-10-28,2015-10-14
430,300146,2014-07-11,2014-11-28
