,stock_id,start_date,end_date,dzprice_min,lowdzprice_ratio,lowdzaver_ratio,end_start
116,000882,2013-05-02,2013-10-17,-0.22188413716643762,0.8648648648648649,0.5135135135135135,1.0016078077229353
176,002092,2012-11-05,2013-02-07,-0.2014116964557498,0.8939393939393939,0.4696969696969697,1.0312374309519212
351,002546,2015-07-16,2015-12-31,-0.569360682164501,0.9824561403508771,0.5789473684210527,0.9852233228499009
726,601009,2015-07-29,2015-11-19,-0.31617555841925815,0.8266666666666667,0.52,1.0662411046195912
